address,collateral,collateral_token,collateral_value_current,issued,notional_value,ratio,oToken,oToken_group,expired
0x33f7…c452,0.25,ETH,53.5,1432.490586,29.30207323,1.99869,ocDAI,stablecoin,0
0xec32…b7f2,11.311731,ETH,2420.710434,58569.42203,1198.057083,2.21184,ocDAI,stablecoin,0
0x47db…c958,0.001772,ETH,0.379208,8.028962,0.1642350985,2.52754,ocDAI,stablecoin,0
0x3136…0f69,0.002512,ETH,0.537568,10.925893,0.2234927893,2.6328,ocDAI,stablecoin,0
0xd89b…25f3,0.1,ETH,21.4,416.726436,8.524278387,2.74818,ocDAI,stablecoin,0
0x521e…4eab,0.01,ETH,2.14,41.408015,0.8470147724,2.76574,ocDAI,stablecoin,0
0xcae6…547b,0.05,ETH,10.7,206.568432,4.225426247,2.77206,ocDAI,stablecoin,0
0x5c2e…5a77,0.01,ETH,2.14,40.131933,0.820912089,2.85369,ocDAI,stablecoin,0
0xc759…35c2,0.005966,ETH,1.276724,22.46125,0.4594523682,3.0417,ocDAI,stablecoin,0
0x2b5b…f454,0.0225,ETH,4.815,84.06651,1.719608531,3.06518,ocDAI,stablecoin,0
0x3e0c…3331,0.3,ETH,64.2,1111.363636,22.73331424,3.09144,ocDAI,stablecoin,0
0xffac…1bb5,0.05,ETH,10.7,183.109198,3.745559783,3.1272,ocDAI,stablecoin,0
0x1b97…8870,0.025,ETH,5.35,91.192141,1.865365692,3.13963,ocDAI,stablecoin,0
0xc175…188a,0.001,ETH,0.214,3.646584,0.07459209326,3.14058,ocDAI,stablecoin,0
0x076c…11e4,329.748067,ETH,70566.08634,1185699.866,24253.88664,3.18496,ocDAI,stablecoin,0
0xe3b1…f646,1,ETH,214,3568.585261,72.99660301,3.20923,ocDAI,stablecoin,0
0x3839…f757,0.075,ETH,16.05,266.880235,5.459124314,3.21841,ocDAI,stablecoin,0
0xdd72…ea3b,0.023653,ETH,5.061742,84.07086,1.719697511,3.22214,ocDAI,stablecoin,0
0x48c2…4b0a,0.025,ETH,5.35,87.21727,1.784058378,3.28272,ocDAI,stablecoin,0
0x24ba…6291,0.05,ETH,10.7,174.204321,3.56340755,3.28706,ocDAI,stablecoin,0
0x4b51…0a48,0.587647,ETH,125.756458,2034.68677,41.62019723,3.30762,ocDAI,stablecoin,0
0xbdaa…67f1,0.025,ETH,5.35,86.36522,1.766629411,3.31511,ocDAI,stablecoin,0
0xe0e8…c7a7,0.010085,ETH,2.15819,34.089628,0.6973147228,3.38812,ocDAI,stablecoin,0
0x6442…4cb5,0.05,ETH,10.7,168.512257,3.446974481,3.39809,ocDAI,stablecoin,0
0x3090…3e19,0.00045,ETH,0.0963,1.516464,0.03101977745,3.39842,ocDAI,stablecoin,0
0x62e1…5208,0.125,ETH,26.75,393.049933,8.039967613,3.64216,ocDAI,stablecoin,0
0x764c…5a4d,0.005,ETH,1.07,15.64205,0.3199633554,3.66077,ocDAI,stablecoin,0
0xab87…2ca2,0.25,ETH,53.5,776.275007,15.87896446,3.68825,ocDAI,stablecoin,0
0xf196…b4f8,0.002,ETH,0.428,6.181079,0.1264360347,3.70563,ocDAI,stablecoin,0
0xddf4…d725,0.005,ETH,1.07,15.387013,0.3147464884,3.72145,ocDAI,stablecoin,0
0xf4d9…8c72,0.00119,ETH,0.25466,3.628295,0.07421798566,3.75606,ocDAI,stablecoin,0
0xb444…4530,0.02,ETH,4.28,60.935987,1.24646596,3.75883,ocDAI,stablecoin,0
0x5853…eb85,0.01,ETH,2.14,30.347633,0.6207709657,3.77374,ocDAI,stablecoin,0
0x1f7c…2553,0.005501,ETH,1.177214,16.690498,0.3414097093,3.77467,ocDAI,stablecoin,0
0x1955…da50,0.02,ETH,4.28,59.839968,1.224046525,3.82767,ocDAI,stablecoin,0
0x2482…91ea,0.25,ETH,53.5,735.163959,15.03802424,3.8945,ocDAI,stablecoin,0
0x71c5…828b,0.0075,ETH,1.605,21.52559,0.4403131305,3.99027,ocDAI,stablecoin,0
0xabc0…c3b4,0.000636,ETH,0.136104,1.513816,0.03096561172,4.81011,ocDAI,stablecoin,0
0x9e68…7d84,9.78575,ETH,2094.1505,22752.17627,465.4033622,4.92569,ocDAI,stablecoin,0
0xab1b…9a1e,0.0006,ETH,0.1284,1.2975,0.02654079572,5.2959,ocDAI,stablecoin,0
0xf665…5796,0.075,ETH,16.05,97.002997,1.984228692,8.85467,ocDAI,stablecoin,0
0xa00c…7bac,0.0001,ETH,0.0214,0.086606,0.001771554647,13.2236,ocDAI,stablecoin,0
0x7dac…082f,0.525,ETH,112.35,104.06882,2.12876246,57.77433,ocDAI,stablecoin,0
0x75b3…b236,0.0101,ETH,2.1614,0.613802,0.01255552485,188.44701,ocDAI,stablecoin,0
0xb529…8f48,0.00988,ETH,2.11432,52.025641,1.093635458,1.94371,ocUSDC,stablecoin,0
0x6cfa…0f04,5,ETH,1070,26255.34188,551.9157919,1.94924,ocUSDC,stablecoin,0
0x11d2…2a6e,0.5,ETH,107,2423.571833,50.94611121,2.11167,ocUSDC,stablecoin,0
0x5699…7ec2,0.05,ETH,10.7,218.335337,4.589645831,2.344,ocUSDC,stablecoin,0
0xcb9d…37b5,0.05,ETH,10.7,213.997253,4.498454596,2.39152,ocUSDC,stablecoin,0
0x1b36…0691,9,ETH,1926,37238.8664,782.8014021,2.47376,ocUSDC,stablecoin,0
0x0bf5…4d40,0.1,ETH,21.4,405.558894,8.525288269,2.52382,ocUSDC,stablecoin,0
0x47db…c958,0.005,ETH,1.07,20,0.4204217141,2.55889,ocUSDC,stablecoin,0
0xe086…a7ab,0.25,ETH,53.5,991.586538,20.8442256,2.58061,ocUSDC,stablecoin,0
0xc99b…817f,1,ETH,214,3960.034379,83.24422207,2.58472,ocUSDC,stablecoin,0
0x3111…faca,0.1,ETH,21.4,376.478365,7.913983977,2.71877,ocUSDC,stablecoin,0
0x8628…a40d,0.1,ETH,21.4,363.33502,7.637696595,2.81712,ocUSDC,stablecoin,0
0xa6e3…54f3,5,ETH,1070,17694.17735,371.9508185,2.89236,ocUSDC,stablecoin,0
0x2577…6d3f,0.01,ETH,2.14,34.429087,0.7237367885,2.97294,ocUSDC,stablecoin,0
0x0837…0f4f,0.051243,ETH,10.966002,174.434684,3.666806442,3.00687,ocUSDC,stablecoin,0
0x076c…11e4,432,ETH,92448,1455074.348,30587.24257,3.03886,ocUSDC,stablecoin,0
