tx,minute,value,account,side,type,token
014843ca795d44e17309a5c70bdfa28973d073883fbc4aada30f92c45e250b53,02/10/20 20:01,0,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
8f78cda0640a05c6ce42edd6c70fa4fb7a085f1f79d0f2c7936461dfe3772086,02/11/20 22:30,0,1460771b713e8e58e350f9d82f7b83acb6b2e75f,buy,put,ocDAI
ee22249d3296f2a6241cecdfcabe7776e4072d3771c2da825f789fe408150776,02/12/20 1:59,0.02,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocUSDC
5e2f03277e21e4d8e53ec2e85d808f2f4c699a3dcf43befd57279d88ae60c6e5,02/12/20 2:58,1.59,263fc4d9eb6da1ed296ea6d189b41e546a188d8a,buy,put,ocDAI
1f0c4191949617e32a42b358b0d65adf08ac4a82b117b9d5d2991cf2df8ac7fa,02/12/20 6:25,16.31,5b0d9e4099bf629387a842ed6bff4dab70573f31,buy,put,ocDAI
9a6f8e9db9e88a05e20be211d83fd4222173abc6a6fe452d1a8dae37eb165c79,02/12/20 13:40,0,c18842d634a683e6ea5392e3f9f23a6966c88371,buy,put,ocDAI
d6b69e502b1997aad35a92d0c24da68c3ff88bd3d5a32876b41a2e164528d1b3,02/12/20 13:40,0,c18842d634a683e6ea5392e3f9f23a6966c88371,buy,put,ocUSDC
88f8a4073cae8f3906bb1608e2646def5e7cddada249825174d62d99edbeb6c8,02/12/20 15:21,0.39,2a1530c4c41db0b0b2bb646cb5eb1a67b7158667,buy,put,ocDAI
0b15d27e90b6d956d530fff25a35c81e85db0e614b0bf7a0aa0e9c65d7f4c198,02/12/20 16:00,0,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocUSDC
6958e6c5b4234ac6b6ccf7b115d7288c76f9d86a6456184317b6b988c70348f2,02/12/20 16:27,0.01,97dec872013f6b5fb443861090ad931542878126,buy,put,ocDAI
e5ec6176c16a4c315a902d4e7909501a6d2d07b44338aa1c6c445786e395bc9d,02/12/20 16:52,0.00,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
f6d468a8592d1c6bcc1b2943be4c8556d9688e59d71cb912f182ee17dd9e542a,02/12/20 16:54,0.00,5778f2824a114f6115dc74d432685d3336216017,buy,put,ocDAI
